rank,title,authors,journal,year,volume,issue,pages,doi,primary_category,categories,section_hint,in_catalog_matrix,has_cnki_link,core_bibliography_complete,missing_fields,verification_status,verification_note
1,体育非遗短视频传播的关键影响因素与逻辑研究,左逸帆;刘双双;罗亮,武汉体育学院学报,2025,59,08,24-30,10.15930/j.cnki.wtxb.2025.08.008,target_journal_short_video,target_journal_short_video,引言/文献综述：短视频平台与体育非遗传播研究缺口,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
2,中国民族传统体育文化国际传播效果提升的影响因素与组态路径——基于YouTube热门视频的实证分析,李乾丙;王相飞;周榕,武汉体育学院学报,2024,58,05,35-42,10.15930/j.cnki.wtxb.2024.05.007,target_journal_short_video,target_journal_short_video;traditional_sports_communication,引言/文献综述：短视频平台与体育非遗传播研究缺口,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
3,如何提升体育健康科普效能?——基于对体育健康辟谣短视频传播的组态分析,程宇;王相飞;王真真;李乾丙,武汉体育学院学报,2025,59,11,38-45+54,10.15930/j.cnki.wtxb.2025.11.011,target_journal_short_video,target_journal_short_video,引言/文献综述：短视频平台与体育非遗传播研究缺口,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
4,体育视觉传播中的“深度伪造”:伦理与风险,吕金龙;王相飞,武汉体育学院学报,2025,59,07,17-24,10.15930/j.cnki.wtxb.2025.07.002,target_journal_short_video,target_journal_short_video;digital_ai_sport;technology_time_philosophy,引言/文献综述：短视频平台与体育非遗传播研究缺口,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
5,技术与思想：导引史料认知的历史逻辑寻绎,马天辕;郭玉成,武汉体育学院学报,2023,57,07,62-68,10.15930/j.cnki.wtxb.2023.07.005,traditional_sports_qigong,embodiment_body_text;traditional_sports_qigong;digital_ai_sport,文献综述：健身气功、导引、传统体育养生文化基础,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
6,新时代中国传统体育养生文化创新性发展路径研究,尹海立;颜芬;颜辉;王艳红;段倩倩,武汉体育学院学报,2024,58,06,65-72,10.15930/j.cnki.wtxb.2024.06.007,traditional_sports_qigong,traditional_sports_qigong;traditional_sports_communication,文献综述：健身气功、导引、传统体育养生文化基础,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
7,传统武术图腾隐喻与身体实践,江松;侯小琴,武汉体育学院学报,2025,59,06,65-72,10.15930/j.cnki.wtxb.2025.06.006,embodiment_body_text,embodiment_body_text;traditional_sports_communication,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
8,中国式学校体育现代化:国情、路径、课题与发展,毛振明;彭小伟;胡庆山,武汉体育学院学报,2024,58,03,1-9+33,10.15930/j.cnki.wtxb.2024.03.001,embodiment_body_text,embodiment_body_text;traditional_sports_communication;sports_knowledge_system,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
9,体育媒介传播的转向与未来：从符号传播回归具身传播,于晓梅;张业安,武汉体育学院学报,2023,57,08,13-18+32,10.15930/j.cnki.wtxb.2023.08.001,embodiment_body_text,embodiment_body_text;digital_ai_sport,理论框架：身体文本、具身经验与动作意义生成,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
10,城市群众性体育赛事传播模式的变革与启示——基于“苏超”传播的田野调查,陈积银;王琪琪,武汉体育学院学报,2025,59,12,1-9+27,10.15930/j.cnki.wtxb.2025.12.003,digital_ai_sport,digital_ai_sport;sports_ethnography_method;traditional_sports_communication,方法/讨论：数智体育、AI 辅助编码与技术治理,true,true,true,,catalog_metadata_ready,Still verify against CNKI/journal page before final submission.
