layer,key,status,citation,source_url,project_url,paper_use,boundary
core_theory,derrida_grammatology_1976,publication_metadata_ready,"Derrida, J. (1976). Of Grammatology. Translated by Gayatri Chakravorty Spivak. Baltimore: Johns Hopkins University Press.",https://jhupbooks.press.jhu.edu/title/grammatology,,延异、书写与在场形而上学批判的一级理论背景；中文稿中需结合权威中译本核对译名与页码。,只作为理论阐释来源，不直接替代体育传播经验数据。
core_theory,derrida_margins_1982,publication_metadata_ready,"Derrida, J. (1982). Margins of Philosophy. Translated by Alan Bass. Chicago: University of Chicago Press.",https://press.uchicago.edu/ucp/books/book/chicago/M/bo3633370.html,,用于界定 differance、痕迹、补充等概念的英文出处；正式稿需核对中译术语。,概念必须服务于变量化解释，避免把体育论文写成纯哲学论文。
sports_video_benchmark,multisports_iccv_2021,paper_and_code_ready,"Li, Y., Chen, L., He, R., Wang, Z., Wu, G., & Wang, L. (2021). MultiSports: A Multi-Person Video Dataset of Spatio-Temporally Localized Sports Actions. ICCV 2021.",https://arxiv.org/abs/2105.07404,https://github.com/MCG-NJU/MultiSports,说明多人体体育动作时空定位基准与动作边界标注逻辑；可作为技术校准/背景基准。,不是健身气功短视频平台样本，不能用来证明平台传播延异。
sports_video_benchmark,soccernet_v2_cvprw_2021,paper_and_dataset_ready,"Deliège, A., Cioppa, A., Giancola, S., Seikavandi, M. J., Dueholm, J. V., Nasrollahi, K., Ghanem, B., Moeslund, T. B., & Van Droogenbroeck, M. (2021). SoccerNet-v2: A Dataset and Benchmarks for Holistic Understanding of Broadcast Soccer Videos. CVPR Workshops 2021.",https://arxiv.org/abs/2011.13367,https://www.soccer-net.org/,说明体育转播视频理解、动作 spotting、镜头切分与回放 grounding 的成熟评测范式。,适合论证体育视频理解技术背景，不参与健身气功文化意义频率统计。
sports_video_benchmark,p2anet_tomccap_2024,paper_and_code_ready,"Bian, J., Li, X., Wang, T., Wang, Q., Huang, J., Liu, C., Zhao, J., Lu, F., Dou, D., & Xiong, H. (2024). P2ANet: A Large-Scale Benchmark for Dense Action Detection from Table Tennis Match Broadcasting Videos. ACM Transactions on Multimedia Computing, Communications, and Applications, 20(4), Article 118. https://doi.org/10.1145/3633516",https://dblp.org/rec/journals/tomccap/BianLWWHLZLDX24,https://github.com/Fred1991/P2ANET,说明高密度、快速体育动作检测的技术难点，可与短视频剪辑节奏对身体动作可识别性的影响形成方法参照。,乒乓球广播视频基准，不是民族传统体育或短视频平台传播语料。
tool_method,sportslabkit_pypi,tool_metadata_ready,"SportsLabKit. Python package for sports analytics, PyPI project sportslabkit, version 0.3.1.",https://pypi.org/project/sportslabkit/,https://sportslabkit.readthedocs.io/en/latest/notebooks/01_get_started/introduction_to_sportslabkit.html,如 Ubuntu 环境实际跑通，可作为多目标跟踪、检测器/跟踪器组合、BoundingBoxDataFrame 输出的工具依据。,本地 macOS 当前未跑通；正式稿只能在 Ubuntu 成功产出后写入结果层。
tool_method,opencv_bradski_2000,bibliographic_metadata_ready,"Bradski, G. (2000). The OpenCV Library. Dr. Dobb's Journal of Software Tools, 25, 120-125.",https://cir.nii.ac.jp/crid/1570009750919616256?lang=en,,若最终使用 OpenCV 后备链路做帧差、光流、镜头运动或关键帧抽样，可作为工具文献。,只能支撑实际执行的 OpenCV 指标，不能替代姿态估计或平台意义编码。
tool_method,blazepose_ghum_2022,paper_metadata_ready,"Grishchenko, I., Bazarevsky, V., Zanfir, A., Bazavan, E. G., Zanfir, M., Yee, R., Raveendran, K., Zhdanovich, M., Grundmann, M., & Sminchisescu, C. (2022). BlazePose GHUM Holistic: Real-time 3D Human Landmarks and Pose Estimation. arXiv:2206.11678.",https://arxiv.org/abs/2206.11678,,若采用 MediaPipe/BlazePose 后备链路，可支撑单目视频人体关键点与姿态估计的技术依据。,必须明确其为后备或辅助方法；不应写成 SportsLabKit 已完成结果。
platform_health_communication,tiktok_fitness_covid_frontiers_2022,peer_reviewed_ready,"Liu, Y., & Wang, X. (2022). Communication Mechanism and Optimization Strategies of Short Fitness-Based Videos on TikTok During COVID-19 Epidemic Period in China. Frontiers in Communication, 7, 778782. https://doi.org/10.3389/fcomm.2022.778782",https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.778782/full,,直接支撑中国语境下短健身视频传播机制、时空扩散和优化路径的文献综述。,研究对象是疫情期间健身短视频，不等同于健身气功的身体经验与延异机制。
platform_health_communication,tiktok_health_science_qca_2023,peer_reviewed_ready,"Tian, Y., Liu, S., & Zhang, D. (2023). Clearness qualitative comparative analysis of the spread of TikTok health science knowledge popularization accounts. Digital Health, 9. https://doi.org/10.1177/20552076231219116",https://journals.sagepub.com/doi/abs/10.1177/20552076231219116,,支撑健康科普账号传播条件组态、平台健康知识传播与 QCA 方法参照。,账号层传播研究，不提供本研究视频内容编码结果。
